	Manipulation	d ecrasement	Filename	cristallisation_sel_2025-06-13.dat	Date	13/6/2025	Time	15:18:10 s	Remarque	ecrasement de  .... d'une epaisseur de 	TempsEntreMesure	60.000 s	TempsRelaxation	0.000 s	CourseTotal	0.000 mm	NbrEcrasement	0



Temps(s)	Position(mm)	Force(g)	Mouvement(0 ou 1)	Résistance(ohm)
33690.005	0.000	-4.300	0	0.000
33750.020	0.000	-4.300	0	0.000
33810.019	0.000	-4.295	0	0.000
33870.014	0.000	-4.282	0	0.000
33930.028	0.000	-4.280	0	0.000
33990.043	0.000	-4.277	0	0.000
34050.047	0.000	-4.270	0	0.000
34110.042	0.000	-4.261	0	0.000
34170.026	0.000	-4.260	0	0.000
34230.030	0.000	-4.255	0	0.000
34290.035	0.000	-4.249	0	0.000
34350.034	0.000	-4.240	0	0.000
34410.044	0.000	-4.232	0	0.000
34470.048	0.000	-4.230	0	0.000
34530.043	0.000	-4.229	0	0.000
34590.027	0.000	-4.220	0	0.000
34650.047	0.000	-4.220	0	0.000
34710.036	0.000	-4.218	0	0.000
34770.016	0.000	-4.206	0	0.000
34830.015	0.000	-4.200	0	0.000
34890.030	0.000	-4.192	0	0.000
34950.029	0.000	-4.190	0	0.000
35010.029	0.000	-4.185	0	0.000
35070.033	0.000	-4.175	0	0.000
35130.008	0.000	-4.170	0	0.000
35190.022	0.000	-4.170	0	0.000
35250.037	0.000	-4.160	0	0.000
35310.036	0.000	-4.153	0	0.000
35370.051	0.000	-4.150	0	0.000
35430.040	0.000	-4.148	0	0.000
35490.040	0.000	-4.140	0	0.000
35550.059	0.000	-4.130	0	0.000
35610.033	0.000	-4.130	0	0.000
35670.018	0.000	-4.125	0	0.000
35730.022	0.000	-4.117	0	0.000
35790.037	0.000	-4.110	0	0.000
35850.051	0.000	-4.110	0	0.000
35910.036	0.000	-4.103	0	0.000
35970.020	0.000	-4.094	0	0.000
36030.020	0.000	-4.090	0	0.000
36090.019	0.000	-4.090	0	0.000
36150.014	0.000	-4.082	0	0.000
36210.028	0.000	-4.074	0	0.000
36270.028	0.000	-4.070	0	0.000
36330.022	0.000	-4.070	0	0.000
36390.037	0.000	-4.064	0	0.000
36450.046	0.000	-4.053	0	0.000
36510.041	0.000	-4.050	0	0.000
36570.020	0.000	-4.050	0	0.000
36630.035	0.000	-4.042	0	0.000
36690.049	0.000	-4.035	0	0.000
36750.024	0.000	-4.030	0	0.000
36810.033	0.000	-4.030	0	0.000
36870.032	0.000	-4.020	0	0.000
36930.022	0.000	-4.011	0	0.000
36990.046	0.000	-4.004	0	0.000
37050.036	0.000	-4.000	0	0.000
37110.010	0.000	-3.998	0	0.000
37170.005	0.000	-3.990	0	0.000
37230.019	0.000	-3.982	0	0.000
37290.029	0.000	-3.980	0	0.000
37350.013	0.000	-3.973	0	0.000
37410.018	0.000	-3.967	0	0.000
37470.032	0.000	-3.960	0	0.000
37530.032	0.000	-3.960	0	0.000
37590.026	0.000	-3.957	0	0.000
37650.026	0.000	-3.950	0	0.000
37710.035	0.000	-3.943	0	0.000
37770.050	0.000	-3.940	0	0.000
37830.059	0.000	-3.931	0	0.000
37890.039	0.000	-3.925	0	0.000
37950.023	0.000	-3.920	0	0.000
38010.028	0.000	-3.920	0	0.000
38070.027	0.000	-3.915	0	0.000
38130.021	0.000	-3.906	0	0.000
38190.031	0.000	-3.900	0	0.000
38250.050	0.000	-3.900	0	0.000
38310.030	0.000	-3.892	0	0.000
38370.029	0.000	-3.885	0	0.000
38430.044	0.000	-3.880	0	0.000
38490.043	0.000	-3.879	0	0.000
38550.043	0.000	-3.870	0	0.000
38610.037	0.000	-3.860	0	0.000
38670.037	0.000	-3.860	0	0.000
38730.021	0.000	-3.858	0	0.000
38790.016	0.000	-3.849	0	0.000
38850.030	0.000	-3.840	0	0.000
38910.025	0.000	-3.840	0	0.000
38970.009	0.000	-3.836	0	0.000
39030.024	0.000	-3.827	0	0.000
39090.043	0.000	-3.820	0	0.000
39150.048	0.000	-3.820	0	0.000
39210.032	0.000	-3.812	0	0.000
39270.017	0.000	-3.805	0	0.000
39330.031	0.000	-3.800	0	0.000
