	Manipulation	d ecrasement	Filename	cristallisation_sel_2025-20-06bis.dat	Date	20/6/2025	Time	16:56:53 s	Remarque	ecrasement de  .... d'une epaisseur de 	TempsEntreMesure	60.000 s	TempsRelaxation	0.000 s	CourseTotal	0.000 mm	NbrEcrasement	0



Temps(s)	Position(mm)	Force(g)	Mouvement(0 ou 1)	Résistance(ohm)
33930.058	0.000	2.470	0	0.000
33990.047	0.000	2.474	0	0.000
34050.012	0.000	2.480	0	0.000
34110.011	0.000	2.489	0	0.000
34170.016	0.000	2.492	0	0.000
34230.021	0.000	2.500	0	0.000
34290.025	0.000	2.507	0	0.000
34350.020	0.000	2.510	0	0.000
34410.019	0.000	2.513	0	0.000
34470.039	0.000	2.520	0	0.000
34530.068	0.000	2.530	0	0.000
34590.053	0.000	2.530	0	0.000
34650.037	0.000	2.532	0	0.000
34710.037	0.000	2.540	0	0.000
34770.051	0.000	2.548	0	0.000
34830.081	0.000	2.550	0	0.000
34890.050	0.000	2.552	0	0.000
34950.039	0.000	2.560	0	0.000
35010.069	0.000	2.569	0	0.000
35070.048	0.000	2.570	0	0.000
35130.053	0.000	2.575	0	0.000
35190.082	0.000	2.581	0	0.000
35250.067	0.000	2.590	0	0.000
35310.041	0.000	2.590	0	0.000
35370.035	0.000	2.590	0	0.000
35430.035	0.000	2.597	0	0.000
35490.055	0.000	2.607	0	0.000
35550.054	0.000	2.610	0	0.000
35610.049	0.000	2.612	0	0.000
35670.073	0.000	2.620	0	0.000
35730.078	0.000	2.621	0	0.000
35790.052	0.000	2.630	0	0.000
35850.047	0.000	2.630	0	0.000
35910.041	0.000	2.633	0	0.000
35970.036	0.000	2.640	0	0.000
36030.065	0.000	2.641	0	0.000
36090.065	0.000	2.650	0	0.000
36150.064	0.000	2.657	0	0.000
36210.054	0.000	2.660	0	0.000
36270.038	0.000	2.660	0	0.000
36330.027	0.000	2.669	0	0.000
36390.032	0.000	2.671	0	0.000
36450.032	0.000	2.680	0	0.000
36510.016	0.000	2.680	0	0.000
36570.030	0.000	2.689	0	0.000
36630.070	0.000	2.697	0	0.000
36690.054	0.000	2.700	0	0.000
36750.024	0.000	2.701	0	0.000
36810.048	0.000	2.710	0	0.000
36870.048	0.000	2.718	0	0.000
36930.047	0.000	2.720	0	0.000
36990.062	0.000	2.720	0	0.000
37050.036	0.000	2.727	0	0.000
37110.041	0.000	2.736	0	0.000
37170.065	0.000	2.740	0	0.000
37230.080	0.000	2.740	0	0.000
37290.058	0.000	2.749	0	0.000
37350.029	0.000	2.757	0	0.000
37410.018	0.000	2.760	0	0.000
37470.038	0.000	2.760	0	0.000
37530.056	0.000	2.767	0	0.000
37590.062	0.000	2.778	0	0.000
37650.046	0.000	2.780	0	0.000
37710.036	0.000	2.782	0	0.000
37770.040	0.000	2.790	0	0.000
37830.070	0.000	2.800	0	0.000
37890.054	0.000	2.800	0	0.000
37950.034	0.000	2.803	0	0.000
38010.048	0.000	2.810	0	0.000
38070.053	0.000	2.811	0	0.000
38130.052	0.000	2.820	0	0.000
38190.042	0.000	2.820	0	0.000
38250.025	0.000	2.829	0	0.000
38310.056	0.000	2.839	0	0.000
38370.080	0.000	2.840	0	0.000
38430.064	0.000	2.842	0	0.000
38490.039	0.000	2.850	0	0.000
38550.043	0.000	2.857	0	0.000
38610.043	0.000	2.860	0	0.000
38670.042	0.000	2.860	0	0.000
38730.026	0.000	2.868	0	0.000
38790.041	0.000	2.876	0	0.000
